event_id,title,category_type,event_category_name,venue_name,city,state,get_in_price,stats_total_quantity,forecast_is_available,forecast_value,days_until_event,last_updated_epoch,review_score,price_score,supply_score,movement_score,forecast_score,urgency_score,staleness_score,event_utc_datetime
40330197,Richard O'Brien's The Rocky Horror Show,THEATER,Musical,Studio 54,New York,NY,212.0,60,False,-100.0,12,1779879175.0,0.598,1.0,0.996,0.113,0.0,0.7,1.0,2026-06-20 19:30:00+00:00
74637682,Gabriel Iglesias (21+ Event),THEATER,Comedy,Pipa Event Center,Winterhaven,CA,152.0,40,True,0.26,12,1779833197.0,0.598,0.894,0.998,0.062,0.26,0.7,1.0,2026-06-20 03:00:00+00:00
48193804,Louis Tomlinson,CONCERT,Pop,Henry Maier Festival Park - BMO Harris Pavilion,Milwaukee,WI,140.0,380,True,0.41,19,1779834649.0,0.597,1.0,0.978,0.0,0.41,0.4,1.0,2026-06-27 00:00:00+00:00
117088387,Ain't Too Proud,THEATER,Musical,Gateway Playhouse,Bellport,NY,182.0,52,False,-100.0,13,1779857955.0,0.596,1.0,0.997,0.107,0.0,0.7,1.0,2026-06-21 18:00:00+00:00
112010221,Sean Patton,THEATER,Comedy,The Riot Comedy Club at Rudyards,Houston,TX,130.0,4,False,-100.0,12,1779883817.0,0.595,0.765,1.0,0.337,0.0,0.7,1.0,2026-06-20 00:00:00+00:00
37808406,Savannah Bananas at Indianapolis Clowns,SPORT,Baseball,Great American Ball Park,Cincinnati,OH,166.0,322,False,-100.0,12,1779891822.0,0.595,1.0,0.981,0.113,0.0,0.7,1.0,2026-06-20 23:00:00+00:00
1236873,Little Shop of Horrors,THEATER,Musical,Westside Theatre Upstairs - NY,New York,NY,209.0,42,False,0.0,16,1779880008.0,0.594,1.0,0.998,0.216,0.0,0.4,1.0,2026-06-24 23:00:00+00:00
1407539,The Phantom Of The Opera,THEATER,Musical,Orpheum Theatre - San Francisco,San Francisco,CA,233.0,59,False,0.0,12,1779901775.0,0.593,1.0,0.997,0.093,0.0,0.7,1.0,2026-06-20 02:30:00+00:00
125934340,Omar Hakim and Rachel Z - Ozmosys,CONCERT,Blues and Jazz,City Winery - Boston,Boston,MA,168.0,8,False,-100.0,14,1779843943.0,0.592,1.0,1.0,0.089,0.0,0.7,1.0,2026-06-22 23:30:00+00:00
87640619,Dexter and the Moonrocks,CONCERT,Rock,The Bluestone,Columbus,OH,155.0,12,False,-100.0,11,1779833093.0,0.591,1.0,0.999,0.086,0.0,0.7,1.0,2026-06-19 00:00:00+00:00
1236868,Little Shop of Horrors,THEATER,Musical,Westside Theatre Upstairs - NY,New York,NY,203.0,74,False,0.0,13,1779879919.0,0.591,1.0,0.996,0.086,0.0,0.7,1.0,2026-06-21 18:00:00+00:00
27653780,Joshua - The Musical,THEATER,Musical,Sight and Sound Theatre Lancaster,Strasburg,PA,175.0,10,False,-100.0,11,1779778553.0,0.59,1.0,0.999,0.079,0.0,0.7,1.0,2026-06-19 23:00:00+00:00
135498755,Apocalypse Zombieland - Friday,CONCERT,Music Festivals,Queen Mary Park,Long Beach,CA,235.0,38,False,-100.0,11,1779833830.0,0.59,1.0,0.998,0.082,0.0,0.7,1.0,2026-06-19 21:00:00+00:00
135958171,A Boogie Wit Da Hoodie,CONCERT,Rap/Hip Hop,Stereo Garden,Patchogue,NY,171.0,2,False,0.01,12,1779864265.0,0.589,1.0,1.0,0.076,0.0,0.7,1.0,2026-06-20 04:00:00+00:00
104465189,Jamie Allans Amaze,THEATER,Magic,New World Stages - Stage 5,New York,NY,156.0,29,False,-100.0,14,1779879970.0,0.589,0.918,0.998,0.162,0.0,0.7,1.0,2026-06-22 23:00:00+00:00
42892043,2026 Tailgate N' Tallboys - Saturday,CONCERT,Music Festivals,Tailgate N Tallboys - Midland,Midland,MI,350.0,4,False,-100.0,12,1779879151.0,0.589,1.0,1.0,0.076,0.0,0.7,1.0,2026-06-20 04:00:00+00:00
112667161,Guys and Dolls,THEATER,Musical,Surflight Theatre,Beach Haven,NJ,406.0,8,False,-100.0,17,1779864288.0,0.588,1.0,1.0,0.192,0.0,0.4,1.0,2026-06-25 00:00:00+00:00
72779106,The Play That Goes Wrong,THEATER,Arts and Theater,Bagley Wright Theatre,Seattle,WA,233.0,13,False,-100.0,12,1779832418.0,0.586,1.0,0.999,0.065,0.0,0.7,1.0,2026-06-20 21:00:00+00:00
68130392,The Lunchbox,THEATER,Arts and Theater,Berkeley Repertory - Roda Theatre,Berkeley,CA,189.0,25,False,-100.0,14,1779894055.0,0.586,1.0,0.999,0.065,0.0,0.7,1.0,2026-06-22 02:00:00+00:00
84567698,Hot Mulligan,CONCERT,Alternative,Murat Egyptian Room at Old National Centre,Indianapolis,IN,131.0,55,True,0.0,12,1779879587.0,0.585,0.978,0.997,0.086,0.0,0.7,1.0,2026-06-20 22:30:00+00:00
96804642,Gin Blossoms,CONCERT,Rock,Rivers Casino Des Plaines,Des Plaines,IL,162.0,16,False,-100.0,12,1779894043.0,0.585,1.0,0.999,0.062,0.0,0.7,1.0,2026-06-20 01:00:00+00:00
124648035,Dave Hollister,CONCERT,R&B,City Winery - Nashville,Nashville,TN,157.0,30,False,-100.0,11,1779851479.0,0.584,1.0,0.998,0.058,0.0,0.7,1.0,2026-06-19 23:00:00+00:00
118390678,Major League Rugby Championship,SPORT,Rugby,SeatGeek Stadium,Bridgeview,IL,61.0,15,False,-100.0,13,1779856655.0,0.584,1.0,0.999,0.055,0.0,0.7,1.0,2026-06-21 13:00:00+00:00
124648036,Dave Hollister,CONCERT,R&B,City Winery - Nashville,Nashville,TN,157.0,36,False,-100.0,12,1779851482.0,0.584,1.0,0.998,0.058,0.0,0.7,1.0,2026-06-20 02:30:00+00:00
115965427,Duets with Dad,CONCERT,Pop,Sheldon Concert Hall,St. Louis,MO,141.0,5,False,-100.0,13,1779850448.0,0.583,1.0,1.0,0.052,0.0,0.7,1.0,2026-06-21 00:30:00+00:00
63795020,Forrest Frank,CONCERT,Pop,Gainbridge Fieldhouse,Indianapolis,IN,128.0,418,True,0.15,12,1779901130.0,0.583,0.955,0.976,0.027,0.15,0.7,1.0,2026-06-20 23:00:00+00:00
46414082,OAR,CONCERT,Alternative,Gerald Ford Amphitheatre,Vail,CO,141.0,119,True,0.08,12,1779831828.0,0.583,1.0,0.993,0.01,0.08,0.7,1.0,2026-06-20 00:30:00+00:00
132206611,Iredell County Rodeo - 2 Day Pass (6/19 - 6/20),SPORT,Rodeo,Iredell County Fairgrounds,Troutman,NC,109.0,6,False,-100.0,11,1779749784.0,0.582,1.0,1.0,0.048,0.0,0.7,1.0,2026-06-19 22:59:00+00:00
