event_id,title,category_type,window_days,direction,percent_change,raw_change,get_in_price,event_utc_datetime
121417915,Ship Wrek,CONCERT,14,up,158.0,1.58,167.0,2026-06-20 02:00:00+00:00
100204361,Bixby,CONCERT,30,up,158.0,1.58,123.0,2026-06-24 22:30:00+00:00
112883125,Himra,CONCERT,30,up,157.0,1.57,131.0,2026-06-21 23:00:00+00:00
21483482,Seattle Mariners at Pittsburgh Pirates,SPORT,7,up,157.0,1.57,45.0,2026-06-25 16:35:00+00:00
116408422,The Rocky Horror Show,THEATER,30,up,156.0,1.56,256.0,2026-06-23 23:00:00+00:00
107822356,Jeezy,CONCERT,30,up,156.0,1.56,737.0,2026-06-21 03:00:00+00:00
118389474,Tyler Rich,CONCERT,30,up,155.0,1.55,196.0,2026-06-21 01:00:00+00:00
120137109,Ouster Nash,CONCERT,14,up,153.0,1.53,100.0,2026-06-26 23:00:00+00:00
95470387,Ify Nwadiwe,THEATER,30,up,153.0,1.53,163.0,2026-06-22 00:00:00+00:00
82390162,Minnesota Lynx at Washington Mystics,SPORT,7,up,152.0,1.52,267.0,2026-06-24 23:30:00+00:00
92360515,Mini Kiss,CONCERT,3,up,150.0,1.5,153.0,2026-06-26 23:00:00+00:00
92360515,Mini Kiss,CONCERT,14,up,150.0,1.5,153.0,2026-06-26 23:00:00+00:00
111573804,Its Brunch B*tch!,THEATER,7,up,149.0,1.49,112.0,2026-06-21 19:00:00+00:00
111573804,Its Brunch B*tch!,THEATER,3,up,149.0,1.49,112.0,2026-06-21 19:00:00+00:00
111573804,Its Brunch B*tch!,THEATER,14,up,149.0,1.49,112.0,2026-06-21 19:00:00+00:00
103120956,Utah Shakespeare Festival - Hamlet,THEATER,30,up,148.0,1.48,192.0,2026-06-20 02:00:00+00:00
103120956,Utah Shakespeare Festival - Hamlet,THEATER,14,up,148.0,1.48,192.0,2026-06-20 02:00:00+00:00
29985060,Oh Mary,THEATER,30,up,148.0,1.48,276.0,2026-06-23 23:30:00+00:00
103120956,Utah Shakespeare Festival - Hamlet,THEATER,7,up,148.0,1.48,192.0,2026-06-20 02:00:00+00:00
103120956,Utah Shakespeare Festival - Hamlet,THEATER,3,up,148.0,1.48,192.0,2026-06-20 02:00:00+00:00
120994252,Kaleta and Super Yamba Band,CONCERT,7,up,146.0,1.46,89.0,2026-06-21 00:00:00+00:00
120994252,Kaleta and Super Yamba Band,CONCERT,14,up,146.0,1.46,89.0,2026-06-21 00:00:00+00:00
89470563,New York Knicks at San Antonio Spurs (NBA Finals Game 7 San Antonio Home Game 4) (If Necessary),SPORT,14,up,146.0,1.46,4301.0,2026-06-20 00:30:00+00:00
100206261,2026 Twangfest - Friday,CONCERT,30,up,146.0,1.46,162.0,2026-06-27 01:00:00+00:00
120994252,Kaleta and Super Yamba Band,CONCERT,30,up,146.0,1.46,89.0,2026-06-21 00:00:00+00:00
94125916,Aaron Hibell,CONCERT,30,up,145.0,1.45,62.0,2026-06-24 02:00:00+00:00
110467560,Drew Dunn,THEATER,30,up,144.0,1.44,166.0,2026-06-26 01:30:00+00:00
34643386,Emo Night Karaoke (Rescheduled from 1/31/26),CONCERT,7,up,144.0,1.44,29.0,2026-06-20 23:00:00+00:00
131420221,Conjunto Primavera,CONCERT,7,up,143.0,1.43,185.0,2026-06-20 01:30:00+00:00
100201962,moe. with Umphreys McGee,CONCERT,7,up,143.0,1.43,24.0,2026-06-20 23:00:00+00:00
123367771,Meldrop,CONCERT,30,up,143.0,1.43,122.0,2026-06-21 00:00:00+00:00
82390162,Minnesota Lynx at Washington Mystics,SPORT,3,up,143.0,1.43,267.0,2026-06-24 23:30:00+00:00
13752169,Little Women,THEATER,7,up,141.0,1.41,210.0,2026-06-19 00:30:00+00:00
