event_id,title,category_type,event_category_name,forecast_value,forecast_layover_text,get_in_price,stats_total_quantity,event_utc_datetime
21483348,Atlanta Braves at San Diego Padres,SPORT,MLB Baseball,-0.01,,26.0,3157,2026-06-25 00:40:00+00:00
78982709,James Taylor and His All-Star Band,CONCERT,Adult Contemporary,-0.01,,88.0,1409,2026-06-25 23:30:00+00:00
1334097,San Francisco Symphony - Deneve Conducts Saint-Saens Organ Symphony,CONCERT,Classical,-0.01,,93.0,224,2026-06-27 02:30:00+00:00
53119648,The Avett Brothers and Mike Patton,CONCERT,Rock,-0.01,,42.0,540,2026-06-19 00:00:00+00:00
53120590,The Avett Brothers and Mike Patton,CONCERT,Rock,-0.01,,133.0,1017,2026-06-21 01:00:00+00:00
45082564,Matt Mathews (18+ Event),THEATER,Comedy,-0.01,,155.0,36,2026-06-19 01:00:00+00:00
96809999,Chicago,CONCERT,Rock,-0.01,,58.0,1689,2026-06-27 00:00:00+00:00
84567693,Theresa Caputo,THEATER,Public Speaking,-0.01,,45.0,1438,2026-06-21 00:00:00+00:00
21482675,Pittsburgh Pirates at Colorado Rockies,SPORT,MLB Baseball,-0.01,,24.0,13003,2026-06-20 00:40:00+00:00
110022126,Bob Dylan,CONCERT,Adult Contemporary,-0.01,,90.0,4028,2026-06-21 02:00:00+00:00
52220133,Herb Alpert & The Tijuana Brass,CONCERT,Blues and Jazz,-0.01,,92.0,190,2026-06-21 00:30:00+00:00
82388444,Seattle Storm at Phoenix Mercury,SPORT,WNBA,-0.01,,41.0,1504,2026-06-20 19:00:00+00:00
82389667,New York Liberty at Las Vegas Aces,SPORT,WNBA,-0.01,,23.0,863,2026-06-24 02:00:00+00:00
92360519,Dierks Bentley,CONCERT,Country and Folk,-0.01,,122.0,87,2026-06-27 02:00:00+00:00
94127218,Dance Gavin Dance,CONCERT,Rock,-0.01,,82.0,34,2026-06-26 01:30:00+00:00
21482903,Cincinnati Reds at New York Yankees (Aaron Judge MVP Bobblehead Day),SPORT,MLB Baseball,-0.01,,67.0,6218,2026-06-20 17:35:00+00:00
100876716,October London,CONCERT,R&B,-0.01,,128.0,738,2026-06-20 00:00:00+00:00
21482908,Chicago White Sox at Detroit Tigers,SPORT,MLB Baseball,-0.01,,25.0,4677,2026-06-20 17:10:00+00:00
84568950,Kid Cudi,CONCERT,Rap/Hip Hop,-0.01,,36.0,1901,2026-06-24 01:30:00+00:00
84570829,Turnpike Troubadours,CONCERT,Country and Folk,-0.01,,143.0,139,2026-06-27 02:00:00+00:00
96805988,Jelly Roll,CONCERT,Country and Folk,-0.01,,94.0,388,2026-06-20 23:00:00+00:00
42464157,Nate Bargatze,THEATER,Comedy,-0.01,,67.0,2020,2026-06-27 02:00:00+00:00
84570826,Kid Cudi,CONCERT,Rap/Hip Hop,-0.01,,107.0,2154,2026-06-27 01:30:00+00:00
92355651,Zarna Garg,THEATER,Comedy,-0.01,,57.0,59,2026-06-20 00:00:00+00:00
67229679,Josh Groban with Jennifer Hudson,CONCERT,Adult Contemporary,-0.01,,73.0,2205,2026-06-20 00:00:00+00:00
53122372,Parker McCollum,CONCERT,Country and Folk,-0.01,,55.0,1139,2026-06-27 01:30:00+00:00
81957508,Les Claypool - Claypool Gold,CONCERT,Alternative,-0.01,,120.0,150,2026-06-24 01:00:00+00:00
21483627,Kansas City Royals at Chicago White Sox (Marshmello Postgame Concert),SPORT,MLB Baseball,-0.01,,23.0,12098,2026-06-26 23:40:00+00:00
